TJ노래방 번호	URL	제목	가수	구분	비고	유튜브 검증
53553	https://www.youtube.com/watch?v=VB2-c-Xo8Ts	IMJMWDP	Various Artists	한국어		
053553	https://www.youtube.com/watch?v=swEyf7noXzQ	_IMJMWDP	Various Artists	한국어		
80803	https://www.youtube.com/watch?v=QzVlf2OmVBU	08베이식(08BASICK)	베이식(BASICK),염따(YUMDDA),펀치넬로(Punchnello)	한국어		
080803	https://www.youtube.com/watch?v=fpO_EJTkC1Y	_08베이식(08BASICK)	베이식(BASICK),염따(YUMDDA),펀치넬로(Punchnello)	한국어		
24490	https://www.youtube.com/watch?v=DWmiVtvxvFc	차가워진이바람엔우리가써있어(Bad Love)	박혜원(HYNN)	한국어		
024490	https://www.youtube.com/watch?v=DGzAC1wUPAs	_차가워진이바람엔우리가써있어(Bad Love)	박혜원(HYNN)	한국어		
82540	https://www.youtube.com/watch?v=rAcfdyqPtPU	그냥살아!(just live!) (고멤가요제 GOMEM MUSIC FESTIVAL)	김피탕앤짬뽕(kimpitang&Jjambbong),비챤(VIichan)	한국어		
082540	https://www.youtube.com/watch?v=K8WC6uWyC9I?t=17	_그냥살아!(just live!) (고멤가요제 GOMEM MUSIC FESTIVAL)	김피탕앤짬뽕(kimpitang&Jjambbong),비챤(VIichan)	한국어		
82573	https://www.youtube.com/watch?v=86AYZFMFs4s	How To Love (고멤가요제 GOMEM MUSIC FESTIVAL)	OYT,징버거(JINGBURGER)	한국어		
082573	https://www.youtube.com/watch?v=owlLg3R9u6c	_How To Love (고멤가요제 GOMEM MUSIC FESTIVAL)	OYT,징버거(JINGBURGER)	한국어		
82582	https://www.youtube.com/watch?v=FXqJu6s5IL4	맘가는대로(As you want) (고멤가요제 GOMEM MUSIC FESTIVAL)	세새한캘리퍼스(sesescalipers),고세구(GOSEGU)	한국어		
082582	https://www.youtube.com/watch?v=YmELthNomns	_맘가는대로(As you want) (고멤가요제 GOMEM MUSIC FESTIVAL)	세새한캘리퍼스(sesescalipers),고세구(GOSEGU)	한국어		
80734	https://www.youtube.com/watch?v=WpDSKMwd6I0	별의조각(Stardust)	윤하(Younha)	한국어		
080734	https://www.youtube.com/watch?v=CWTwiE15pdY?t=57	_별의조각(Stardust)	윤하(Younha)	한국어		
80788	https://www.youtube.com/watch?v=7wabTncRNWU	오르트구름(Oort Cloud)	윤하(Younha)	한국어		
080788	https://www.youtube.com/watch?v=oIRT3VfWVZ0	_오르트구름(Oort Cloud)	윤하(Younha)	한국어		
81461	https://www.youtube.com/watch?v=RnibyjMZMoQ	1월부터6월까지(From January to June)	윤종신(Yoon Jong Shin)	한국어		
